Name,API Name,Instance Memory,vCPUs,Physical Processor,Instance Storage,Network Performance,On Demand,RHEL On Demand cost,RHEL Reserved cost,Windows On Demand cost,Windows Reserved cost
IM4GN Quadruple Extra Large,im4gn.4xlarge,64 GiB,16 vCPUs,AWS Graviton2 Processor,7500 GB NVMe SSD,25 Gigabit,$1.7070 hourly,$2.1038 hourly,$1.4959 hourly,unavailable,unavailable
R3 High-Memory Eight Extra Large,r3.8xlarge,244 GiB,32 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge),640 GB (2×320 GB SSD),10 Gigabit,$3.1920 hourly,$3.5460 hourly,$2.5330 hourly,$4.2500 hourly,$2.6740 hourly
R3 High-Memory Large,r3.large,15.25 GiB,2 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge),32 GB SSD,Moderate,$0.2000 hourly,$0.2640 hourly,$0.2010 hourly,$0.3000 hourly,$0.2530 hourly
C7I-FLEX 12xlarge,c7i-flex.12xlarge,96 GiB,48 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 18.75 Gigabit,$2.5616 hourly,$3.7520 hourly,$2.8796 hourly,$4.7696 hourly,$3.8972 hourly
C7A Metal-48xl,c7a.metal-48xl,384 GiB,192 vCPUs,AMD EPYC 9R14 Processor,EBS only,50 Gigabit,$12.4032 hourly,$16.2624 hourly,$12.0384 hourly,$21.2352 hourly,$17.0112 hourly
C7I 12xlarge,c7i.12xlarge,96 GiB,48 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,18.75 Gigabit,$2.6964 hourly,$3.2148 hourly,$2.2965 hourly,$4.9044 hourly,$3.9861 hourly
INF1 Extra Large,inf1.xlarge,8 GiB,4 vCPUs,Intel Xeon Platinum 8275CL (Cascade Lake),EBS only,Up to 25 Gigabit,$0.3080 hourly,$0.3660 hourly,$0.2520 hourly,unavailable,unavailable
R5N Large,r5n.large,16 GiB,2 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,Up to 25 Gigabit,$0.1810 hourly,$0.2450 hourly,$0.1780 hourly,$0.2730 hourly,$0.2060 hourly
C5 High-CPU Extra Large,c5.xlarge,8 GiB,4 vCPUs,Intel Xeon Platinum 8124M,EBS only,Up to 10 Gigabit,$0.2140 hourly,$0.3420 hourly,$0.2620 hourly,$0.3980 hourly,$0.3190 hourly
M4 General Purpose Deca Extra Large,m4.10xlarge,160 GiB,40 vCPUs,Intel Xeon E5-2676 v3 (Haswell),EBS only,10 Gigabit,$2.5800 hourly,$3.5720 hourly,$2.7350 hourly,$4.4200 hourly,$3.5830 hourly
C5 High-CPU Metal,c5.metal,192 GiB,96 vCPUs,Intel Xeon Platinum 8275L,EBS only,25 Gigabit,$5.1360 hourly,$7.5170 hourly,$5.6160 hourly,$9.5520 hourly,$7.6520 hourly
M5N 12xlarge,m5n.12xlarge,192 GiB,48 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,50 Gigabit,$3.6720 hourly,$4.1900 hourly,$2.8320 hourly,$5.8800 hourly,$4.5210 hourly
T3A Double Extra Large,t3a.2xlarge,32 GiB,8 vCPUs (9h 36m burst),AMD EPYC 7571,EBS only,Up to 5 Gigabit,$0.3917 hourly,$0.5069 hourly,$0.3620 hourly,$0.5389 hourly,$0.3940 hourly
X2IEDN 24xlarge,x2iedn.24xlarge,3072 GiB,96 vCPUs,Intel Xeon Scalable (Icelake),2850 GB (2×1425 GB NVMe SSD),75 Gigabit,$29.0115 hourly,$30.0483 hourly,$18.8876 hourly,$33.4275 hourly,$22.2668 hourly
R6IN Metal,r6in.metal,1024 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,200 Gigabit,$13.5533 hourly,$14.7821 hourly,$9.7674 hourly,$19.4413 hourly,$14.4266 hourly
M6ID Extra Large,m6id.xlarge,16 GiB,4 vCPUs,Intel Xeon 8375C (Ice Lake),237 GB NVMe SSD,Up to 12.5 Gigabit,$0.3066 hourly,$0.4342 hourly,$0.3208 hourly,$0.4906 hourly,$0.3772 hourly
M7A 16xlarge,m7a.16xlarge,256 GiB,64 vCPUs,AMD EPYC 9R14 Processor,EBS only,25 Gigabit,$4.7914 hourly,$5.4826 hourly,$3.8660 hourly,$7.7354 hourly,$6.1188 hourly
M6IDN Metal,m6idn.metal,512 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),200 Gigabit,$13.1040 hourly,$15.6768 hourly,$10.8283 hourly,$18.9920 hourly,$14.1435 hourly
X2IEDN Extra Large,x2iedn.xlarge,128 GiB,4 vCPUs,Intel Xeon Scalable (Icelake),118 GB NVMe SSD,Up to 25 Gigabit,$1.2088 hourly,$1.3364 hourly,$0.8714 hourly,$1.3928 hourly,$0.9278 hourly
T3A Small,t3a.small,2 GiB,2 vCPUs (4h 48m burst),AMD EPYC 7571,EBS only,Up to 5 Gigabit,$0.0245 hourly,$0.0533 hourly,$0.0442 hourly,$0.0429 hourly,$0.0338 hourly
M7GD 16xlarge,m7gd.16xlarge,256 GiB,64 vCPUs,AWS Graviton3 Processor,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$4.4150 hourly,$6.0022 hourly,$4.3687 hourly,unavailable,unavailable
R6ID Double Extra Large,r6id.2xlarge,64 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),474 GB NVMe SSD,Up to 12.5 Gigabit,$0.7308 hourly,$0.8460 hourly,$0.5756 hourly,$1.0988 hourly,$0.8284 hourly
T3A Extra Large,t3a.xlarge,16 GiB,4 vCPUs (9h 36m burst),AMD EPYC 7571,EBS only,Up to 5 Gigabit,$0.1958 hourly,$0.3234 hourly,$0.2510 hourly,$0.2694 hourly,$0.1970 hourly
R5N Extra Large,r5n.xlarge,32 GiB,4 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,Up to 25 Gigabit,$0.3620 hourly,$0.4200 hourly,$0.2860 hourly,$0.5460 hourly,$0.4120 hourly
M7GD Medium,m7gd.medium,4 GiB,1 vCPUs,AWS Graviton3 Processor,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0690 hourly,$0.1009 hourly,$0.0754 hourly,unavailable,unavailable
C7A Medium,c7a.medium,2 GiB,1 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.0646 hourly,$0.0965 hourly,$0.0745 hourly,$0.1106 hourly,$0.0886 hourly
R6ID 24xlarge,r6id.24xlarge,768 GiB,96 vCPUs,Intel Xeon 8375C (Ice Lake),5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,$8.7696 hourly,$11.1504 hourly,$7.9056 hourly,$13.1856 hourly,$9.9408 hourly
M6I Double Extra Large,m6i.2xlarge,32 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 12.5 Gigabit,$0.4960 hourly,$0.7512 hourly,$0.5838 hourly,$0.8640 hourly,$0.6966 hourly
R8GD 16xlarge,r8gd.16xlarge,512 GiB,64 vCPUs,AWS Graviton4 Processor,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$5.6826 hourly,$6.3738 hourly,unavailable,unavailable,unavailable
R7I 16xlarge,r7i.16xlarge,512 GiB,64 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,25 Gigabit,$5.1072 hourly,$5.7984 hourly,$4.0696 hourly,$8.0512 hourly,$6.3224 hourly
C5 High-CPU 9xlarge,c5.9xlarge,72 GiB,36 vCPUs,Intel Xeon Platinum 8124M,EBS only,12 Gigabit,$1.9260 hourly,$2.8190 hourly,$2.1060 hourly,$3.5820 hourly,$2.8690 hourly
R5DN Large,r5dn.large,16 GiB,2 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),75 GB NVMe SSD,Up to 25 Gigabit,$0.2030 hourly,$0.2318 hourly,$0.1567 hourly,$0.2950 hourly,$0.2200 hourly
M5A 16xlarge,m5a.16xlarge,256 GiB,64 vCPUs,AMD EPYC 7571,EBS only,12 Gigabit,$3.5840 hourly,$5.1710 hourly,$3.8450 hourly,$6.5280 hourly,$5.2020 hourly
C6A 32xlarge,c6a.32xlarge,256 GiB,128 vCPUs,AMD EPYC 7R13 Processor,EBS only,50 Gigabit,$6.1632 hourly,$7.3920 hourly,$5.2931 hourly,$12.0512 hourly,$9.9522 hourly
M7I Metal-48xl,m7i.metal-48xl,768 GiB,192 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,50 Gigabit,$12.4992 hourly,$16.3584 hourly,$12.1412 hourly,$21.3312 hourly,$17.1140 hourly
M5 General Purpose Metal,m5d.metal,384 GiB,96 vCPUs,Intel Xeon Platinum 8175,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$7.0080 hourly,$9.3890 hourly,$6.7960 hourly,$11.4240 hourly,$8.8310 hourly
R6G Medium,r6g.medium,8 GiB,1 vCPUs,AWS Graviton2 Processor,EBS only,Up to 10 Gigabit,$0.0608 hourly,$0.0752 hourly,$0.0527 hourly,unavailable,unavailable
C7GN Extra Large,c7gn.xlarge,8 GiB,4 vCPUs,AWS Graviton3 Processor,EBS only,Up to 40 Gigabit,$0.3148 hourly,$0.3724 hourly,$0.2543 hourly,unavailable,unavailable
C6A Large,c6a.large,4 GiB,2 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 12.5 Gigabit,$0.0963 hourly,$0.1251 hourly,$0.0923 hourly,$0.1883 hourly,$0.1555 hourly
I7IE 12xlarge,i7ie.12xlarge,384 GiB,48 vCPUs,Intel Xeon Scalable (Emerald Rapids),30000 GB (4×7500 GB NVMe SSD),Up to 50 Gigabit,$7.3416 hourly,$8.5320 hourly,unavailable,$9.5496 hourly,unavailable
R5AD 24xlarge,r5ad.24xlarge,768 GiB,96 vCPUs,AMD EPYC 7571,3600 GB (4×900 GB NVMe SSD),20 Gigabit,$7.6320 hourly,$8.6690 hourly,$5.8450 hourly,$12.0480 hourly,$9.2240 hourly
R5D 12xlarge,r5d.12xlarge,384 GiB,48 vCPUs,Intel Xeon Platinum 8175,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$4.1760 hourly,$4.6940 hourly,$3.1490 hourly,$6.3840 hourly,$4.8390 hourly
R7A Medium,r7a.medium,8 GiB,1 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.0918 hourly,$0.1237 hourly,$0.0926 hourly,$0.1378 hourly,$0.1067 hourly
R6IN 24xlarge,r6in.24xlarge,768 GiB,96 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,150 Gigabit,$10.1650 hourly,$11.2018 hourly,$7.4407 hourly,$14.5810 hourly,$10.8199 hourly
R7A Double Extra Large,r7a.2xlarge,64 GiB,8 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.7342 hourly,$0.8494 hourly,$0.6008 hourly,$1.1022 hourly,$0.8537 hourly
C5AD Eight Extra Large,c5ad.8xlarge,64 GiB,32 vCPUs,AMD EPYC 7R32,1200 GB (2×600 GB NVMe SSD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R5N Eight Extra Large,r5n.8xlarge,256 GiB,32 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,25 Gigabit,$2.8960 hourly,$3.6900 hourly,$2.6180 hourly,$4.3680 hourly,$3.2960 hourly
M5A Eight Extra Large,m5a.8xlarge,128 GiB,32 vCPUs,AMD EPYC 7571,EBS only,Up to 10 Gigabit,$1.7920 hourly,$2.1380 hourly,$1.4750 hourly,$3.2640 hourly,$2.6010 hourly
C6I Extra Large,c6i.xlarge,8 GiB,4 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 12.5 Gigabit,$0.2140 hourly,$0.3416 hourly,$0.2687 hourly,$0.3980 hourly,$0.3251 hourly
C5 High-CPU Double Extra Large,c5.2xlarge,16 GiB,8 vCPUs,Intel Xeon Platinum 8124M,EBS only,Up to 10 Gigabit,$0.4280 hourly,$0.6830 hourly,$0.5250 hourly,$0.7960 hourly,$0.6380 hourly
R6G 16xlarge,r6g.16xlarge,512 GiB,64 vCPUs,AWS Graviton2 Processor,EBS only,25 Gigabit,$3.8912 hourly,$4.5824 hourly,$3.1427 hourly,unavailable,unavailable
T4G Medium,t4g.medium,4 GiB,2 vCPUs (4h 48m burst),AWS Graviton2 Processor,EBS only,Up to 5 Gigabit,$0.0432 hourly,$0.1070 hourly,$0.0910 hourly,unavailable,unavailable
M5DN Double Extra Large,m5dn.2xlarge,32 GiB,8 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),300 GB NVMe SSD,Up to 25 Gigabit,$0.7000 hourly,$0.9550 hourly,$0.6960 hourly,$1.0680 hourly,$0.8090 hourly
R5A Large,r5a.large,16 GiB,2 vCPUs,AMD EPYC 7571,EBS only,Up to 10 Gigabit,$0.1370 hourly,$0.1660 hourly,$0.1150 hourly,$0.2290 hourly,$0.1780 hourly
R5B Eight Extra Large,r5b.8xlarge,256 GiB,32 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,10 Gigabit,$2.8960 hourly,$3.2416 hourly,$2.1701 hourly,$4.3680 hourly,$3.2965 hourly
M6A 24xlarge,m6a.24xlarge,384 GiB,96 vCPUs,AMD EPYC 7R13 Processor,EBS only,37.5 Gigabit,$5.3568 hourly,$7.7376 hourly,$5.9302 hourly,$9.7728 hourly,$7.9654 hourly
C6ID Large,c6id.large,4 GiB,2 vCPUs,Intel Xeon 8375C (Ice Lake),118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1281 hourly,$0.1919 hourly,$0.1481 hourly,$0.2201 hourly,$0.1763 hourly
M6IN 32xlarge,m6in.32xlarge,512 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,200 Gigabit,$11.4566 hourly,$14.0294 hourly,$9.7905 hourly,$17.3446 hourly,$13.1057 hourly
R5D Eight Extra Large,r5d.8xlarge,256 GiB,32 vCPUs,Intel Xeon Platinum 8175,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$2.7840 hourly,$3.1300 hourly,$2.1000 hourly,$4.2560 hourly,$3.2260 hourly
T3 Nano,t3.nano,0.5 GiB,2 vCPUs (1h 12m burst),Intel Skylake E5 2686 v5,EBS only,Up to 5 Gigabit,$0.0068 hourly,unavailable,unavailable,$0.0114 hourly,$0.0089 hourly
M6A Double Extra Large,m6a.2xlarge,32 GiB,8 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 12.5 Gigabit,$0.4464 hourly,$0.5616 hourly,$0.4110 hourly,$0.8144 hourly,$0.6638 hourly
R7I Metal-24xl,r7i.metal-24xl,768 GiB,96 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,37.5 Gigabit,$7.6608 hourly,$8.6976 hourly,$6.1044 hourly,$12.0768 hourly,$9.4836 hourly
R5B Double Extra Large,r5b.2xlarge,64 GiB,8 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,Up to 10 Gigabit,$0.7240 hourly,$0.9792 hourly,$0.7113 hourly,$1.0920 hourly,$0.8241 hourly
R8G Metal-48xl,r8g.metal-48xl,1536 GiB,192 vCPUs,AWS Graviton4 Processor,EBS only,50 Gigabit,$13.6435 hourly,$17.5027 hourly,$12.8844 hourly,unavailable,unavailable
X2IEDN Metal,x2iedn.metal,4096 GiB,128 vCPUs,Intel Xeon Scalable (Icelake),3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$38.6820 hourly,$39.9108 hourly,$25.0298 hourly,$44.5700 hourly,$29.6890 hourly
M6ID Metal,m6id.metal,512 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$9.8112 hourly,$12.3840 hourly,$8.7539 hourly,$15.6992 hourly,$12.0691 hourly
R3 High-Memory Quadruple Extra Large,r3.4xlarge,122 GiB,16 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge),320 GB SSD,High,$1.5960 hourly,$1.7730 hourly,$1.2660 hourly,$2.2760 hourly,$1.7150 hourly
C7A 32xlarge,c7a.32xlarge,256 GiB,128 vCPUs,AMD EPYC 9R14 Processor,EBS only,50 Gigabit,$8.2688 hourly,$9.4976 hourly,$6.6816 hourly,$14.1568 hourly,$11.3408 hourly
Z1D 12xlarge,z1d.12xlarge,384 GiB,48 vCPUs,Intel Xeon Platinum 8151,1800 GB (2×900 GB NVMe SSD),25 Gigabit,$5.4480 hourly,$6.6380 hourly,$4.6230 hourly,$7.6560 hourly,$5.6400 hourly
T3 Large,t3.large,8 GiB,2 vCPUs (7h 12m burst),Intel Skylake E5 2686 v5,EBS only,Up to 5 Gigabit,$0.1088 hourly,$0.1376 hourly,$0.0973 hourly,$0.1364 hourly,$0.0961 hourly
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,768 GiB,192 vCPUs,AMD EPYC 7R32,7600 GB (2×3800 GB NVMe SSD),100 Gigabit,$23.6225 hourly,$25.4657 hourly,$16.7253 hourly,$32.4545 hourly,$23.7142 hourly
M7A 12xlarge,m7a.12xlarge,192 GiB,48 vCPUs,AMD EPYC 9R14 Processor,EBS only,18.75 Gigabit,$3.5935 hourly,$4.7839 hourly,$3.5715 hourly,$5.8015 hourly,$4.5891 hourly
M6A Large,m6a.large,8 GiB,2 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 12.5 Gigabit,$0.1116 hourly,$0.1754 hourly,$0.1378 hourly,$0.2036 hourly,$0.1659 hourly
G5 Graphics and Machine Learning GPU 12xlarge,g5.12xlarge,192 GiB,48 vCPUs,AMD EPYC 7R32,3800 GB NVMe SSD,40 Gigabit,$8.2261 hourly,$9.4165 hourly,$6.3728 hourly,$10.4341 hourly,$7.3904 hourly
C6ID Quadruple Extra Large,c6id.4xlarge,32 GiB,16 vCPUs,Intel Xeon 8375C (Ice Lake),950 GB NVMe SSD,Up to 12.5 Gigabit,$1.0248 hourly,$1.4216 hourly,$1.0715 hourly,$1.7608 hourly,$1.4107 hourly
P2 General Purpose GPU Eight Extra Large,p2.8xlarge,488 GiB,32 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,10 Gigabit,$12.3360 hourly,$12.6820 hourly,unavailable,$13.8080 hourly,unavailable
C5N Double Extra Large,c5n.2xlarge,21 GiB,8 vCPUs,Intel Xeon Platinum 8124M,EBS only,Up to 25 Gigabit,$0.5440 hourly,$0.7990 hourly,$0.5980 hourly,$0.9120 hourly,$0.7110 hourly
M6ID 24xlarge,m6id.24xlarge,384 GiB,96 vCPUs,Intel Xeon 8375C (Ice Lake),5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,$7.3584 hourly,$9.7392 hourly,$7.0166 hourly,$11.7744 hourly,$9.0518 hourly
M5ZN Metal,m5zn.metal,192 GiB,48 vCPUs,Intel Xeon Platinum 8252,EBS only,100 Gigabit,$5.1204 hourly,$6.3108 hourly,$4.3957 hourly,$7.3284 hourly,$5.4133 hourly
C5N Extra Large,c5n.xlarge,10.5 GiB,4 vCPUs,Intel Xeon Platinum 8124M,EBS only,Up to 25 Gigabit,$0.2720 hourly,$0.3300 hourly,$0.2290 hourly,$0.4560 hourly,$0.3550 hourly
I2 Double Extra Large,i2.2xlarge,61 GiB,8 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge),1600 GB (2×800 GB SSD),High,$2.0010 hourly,$2.2570 hourly,$1.3740 hourly,$2.2260 hourly,$1.6600 hourly
R6A 32xlarge,r6a.32xlarge,1024 GiB,128 vCPUs,AMD EPYC 7R13 Processor,EBS only,50 Gigabit,$8.7552 hourly,$11.3280 hourly,$8.3644 hourly,$14.6432 hourly,$11.6796 hourly
M6IN 12xlarge,m6in.12xlarge,192 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,75 Gigabit,$4.2962 hourly,$5.4866 hourly,$3.8970 hourly,$6.5042 hourly,$4.9146 hourly
R7A Eight Extra Large,r7a.8xlarge,256 GiB,32 vCPUs,AMD EPYC 9R14 Processor,EBS only,12.5 Gigabit,$2.9366 hourly,$3.2822 hourly,$2.2882 hourly,$4.4086 hourly,$3.4146 hourly
M6I Large,m6i.large,8 GiB,2 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 12.5 Gigabit,$0.1240 hourly,$0.1878 hourly,$0.1460 hourly,$0.2160 hourly,$0.1742 hourly
M4 General Purpose Double Extra Large,m4.2xlarge,32 GiB,8 vCPUs,Intel Xeon E5-2676 v3 (Haswell),EBS only,High,$0.5160 hourly,$0.7712 hourly,$0.6038 hourly,$0.8840 hourly,$0.7166 hourly
M6I 32xlarge,m6i.32xlarge,512 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,50 Gigabit,$7.9360 hourly,$10.5088 hourly,$7.8312 hourly,$13.8240 hourly,$11.1464 hourly
R5D Quadruple Extra Large,r5d.4xlarge,128 GiB,16 vCPUs,Intel Xeon Platinum 8175,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$1.3920 hourly,$1.5650 hourly,$1.0500 hourly,$2.1280 hourly,$1.6130 hourly
M7A 32xlarge,m7a.32xlarge,512 GiB,128 vCPUs,AMD EPYC 9R14 Processor,EBS only,50 Gigabit,$9.5827 hourly,$12.1555 hourly,$8.9223 hourly,$15.4707 hourly,$12.2375 hourly
I4I Quadruple Extra Large,i4i.4xlarge,128 GiB,16 vCPUs,Intel Xeon 8375C (Ice Lake),3750 GB NVMe SSD,Up to 25 Gigabit,$1.6100 hourly,$1.7830 hourly,$1.2220 hourly,$2.3460 hourly,$1.7850 hourly
M7I Large,m7i.large,8 GiB,2 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.1302 hourly,$0.1590 hourly,$0.1151 hourly,$0.2222 hourly,$0.1783 hourly
R6IN Quadruple Extra Large,r6in.4xlarge,128 GiB,16 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 50 Gigabit,$1.6942 hourly,$1.8670 hourly,$1.2401 hourly,$2.4302 hourly,$1.8033 hourly
R6IDN 16xlarge,r6idn.16xlarge,512 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$7.6003 hourly,$9.1875 hourly,$6.3754 hourly,$10.5443 hourly,$7.7322 hourly
R6I Double Extra Large,r6i.2xlarge,64 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 12.5 Gigabit,$0.6080 hourly,$0.7232 hourly,$0.5174 hourly,$0.9760 hourly,$0.7702 hourly
R7I Eight Extra Large,r7i.8xlarge,256 GiB,32 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,12.5 Gigabit,$2.5536 hourly,$3.3472 hourly,$2.4828 hourly,$4.0256 hourly,$3.1612 hourly
R6IDN 32xlarge,r6idn.32xlarge,1024 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),200 Gigabit,$15.2006 hourly,$16.4294 hourly,$10.8052 hourly,$21.0886 hourly,$15.4644 hourly
IM4GN Large,im4gn.large,8 GiB,2 vCPUs,AWS Graviton2 Processor,937 GB NVMe SSD,Up to 25 Gigabit,$0.2134 hourly,$0.2772 hourly,$0.2012 hourly,unavailable,unavailable
R7A 16xlarge,r7a.16xlarge,512 GiB,64 vCPUs,AMD EPYC 9R14 Processor,EBS only,25 Gigabit,$5.8733 hourly,$7.4605 hourly,$5.4724 hourly,$8.8173 hourly,$6.8292 hourly
HPC7A 96xlarge,hpc7a.96xlarge,768 GiB,192 vCPUs,AMD EPYC 9R14 Processor,EBS only,300 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6I Metal,r6i.metal,1024 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,50 Gigabit,$9.7280 hourly,$12.3008 hourly,$9.0079 hourly,$15.6160 hourly,$12.3231 hourly
R7G Extra Large,r7g.xlarge,32 GiB,4 vCPUs,AWS Graviton3 Processor,EBS only,Up to 12.5 Gigabit,$0.2584 hourly,$0.3160 hourly,$0.2285 hourly,unavailable,unavailable
M7I Eight Extra Large,m7i.8xlarge,128 GiB,32 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,12.5 Gigabit,$2.0832 hourly,$2.4288 hourly,$1.7259 hourly,$3.5552 hourly,$2.8523 hourly
M6IDN Extra Large,m6idn.xlarge,16 GiB,4 vCPUs,Intel Xeon 8375C (Ice Lake),237 GB NVMe SSD,Up to 30 Gigabit,$0.4095 hourly,$0.4671 hourly,$0.3156 hourly,$0.5935 hourly,$0.4420 hourly
I7I Double Extra Large,i7i.2xlarge,64 GiB,8 vCPUs,Intel Xeon Scalable (Emerald Rapids),1875 GB NVMe SSD,Up to 12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
D3 Double Extra Large,d3.2xlarge,64 GiB,8 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),11880 GB (6×1980 GB NVMe HDD),Up to 15 Gigabit,$1.4480 hourly,$1.7040 hourly,$1.1680 hourly,$1.8160 hourly,$1.2800 hourly
C7I-FLEX Double Extra Large,c7i-flex.2xlarge,16 GiB,8 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.4269 hourly,$0.6821 hourly,$0.5367 hourly,$0.7765 hourly,$0.6311 hourly
M5ZN 6xlarge,m5zn.6xlarge,96 GiB,24 vCPUs,Intel Xeon Platinum 8252,EBS only,50 Gigabit,$2.5602 hourly,$3.1554 hourly,$2.1979 hourly,$3.6642 hourly,$2.7067 hourly
C7GD Extra Large,c7gd.xlarge,8 GiB,4 vCPUs,AWS Graviton3 Processor,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2306 hourly,$0.2882 hourly,$0.2094 hourly,unavailable,unavailable
R7A Extra Large,r7a.xlarge,32 GiB,4 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.3671 hourly,$0.4247 hourly,$0.3004 hourly,$0.5511 hourly,$0.4268 hourly
H1 Quadruple Extra Large,h1.4xlarge,64 GiB,16 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),4000 GB (2×2000 GB HDD),Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R8G 12xlarge,r8g.12xlarge,384 GiB,48 vCPUs,AWS Graviton4 Processor,EBS only,22.5 Gigabit,$3.4109 hourly,$3.9293 hourly,$2.7747 hourly,unavailable,unavailable
C7I Extra Large,c7i.xlarge,8 GiB,4 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.2247 hourly,$0.2823 hourly,$0.2058 hourly,$0.4087 hourly,$0.3322 hourly
M8GD Quadruple Extra Large,m8gd.4xlarge,64 GiB,16 vCPUs,AWS Graviton4 Processor,950 GB NVMe SSD,Up to 15 Gigabit,$1.1920 hourly,$1.5888 hourly,unavailable,unavailable,unavailable
R6I Large,r6i.large,16 GiB,2 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 12.5 Gigabit,$0.1520 hourly,$0.2158 hourly,$0.1643 hourly,$0.2440 hourly,$0.1925 hourly
M6A Eight Extra Large,m6a.8xlarge,128 GiB,32 vCPUs,AMD EPYC 7R13 Processor,EBS only,12.5 Gigabit,$1.7856 hourly,$2.1312 hourly,$1.5287 hourly,$3.2576 hourly,$2.6551 hourly
M5N Large,m5n.large,8 GiB,2 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,Up to 25 Gigabit,$0.1530 hourly,$0.2170 hourly,$0.1600 hourly,$0.2450 hourly,$0.1880 hourly
